 Output file produced by H2NEWD.FOR
100 eV, 300 K, 0.7 ISO, 2e13 new self-abs                   
 .13057380D+04  .36660E-02  .44382E-13  7( 0, 6)P C-X  .44913E-02
 .12886540D+04  .20767E-02  .25475E-13  5( 0, 6)R C-X  .33792E-02
 .13519810D+04  .16202E-05  .18944E-16  7( 0, 7)P C-X  .21281E-05
 .13350090D+04  .44711E-03  .52942E-14  5( 0, 7)R C-X  .78082E-03
 .13967880D+04  .31529E-02  .35682E-13  7( 0, 8)P C-X  .44202E-02
 .13801810D+04  .26724E-02  .30608E-13  5( 0, 8)R C-X  .49882E-02
 .14392250D+04  .37626E-03  .41327E-14  7( 0, 9)P C-X  .56004E-03
 .14233100D+04  .24716E-04  .27451E-15  5( 0, 9)R C-X  .49063E-04
 .14780980D+04  .16959E-02  .18137E-13  7( 0,10)P C-X  .26624E-02
 .14633050D+04  .25395E-02  .27434E-13  5( 0,10)R C-X  .53284E-02
 .15119010D+04  .23683E-02  .24762E-13  7( 0,11)P C-X  .38900E-02
 .14987930D+04  .87511E-03  .92298E-14  5( 0,11)R C-X  .19262E-02
 .15387130D+04  .18068E-05  .18562E-16  7( 0,12)P C-X  .30739E-05
 .15280550D+04  .43739E-03  .45249E-14  5( 0,12)R C-X  .10007E-02
 .15559570D+04  .29018E-02  .29482E-13  7( 0,13)P C-X  .50482E-02
 .15489220D+04  .25441E-03  .25964E-14  5( 0,13)R C-X  .59808E-03
 .10339510D+04  .85302E-04  .13042E-14  8( 0, 0)P C-X  .17175E-01
 .10167420D+04  .25487E-04  .39626E-15  6( 0, 0)R C-X  .64891E-02
 .10780470D+04  .16717E-03  .24513E-14  8( 0, 1)P C-X  .36591E-01
 .10602900D+04  .97259E-04  .14500E-14  6( 0, 1)R C-X  .26929E-01
 .11231410D+04  .12119E-03  .17057E-14  8( 0, 2)P C-X  .28792E-01
 .11048880D+04  .13997E-03  .20026E-14  6( 0, 2)R C-X  .42084E-01
 .11690540D+04  .50617E-04  .68444E-15  8( 0, 3)P C-X  .13029E-01
 .11503650D+04  .84674E-04  .11636E-14  6( 0, 3)R C-X  .27597E-01
 .12155240D+04  .17209E-04  .22380E-15  8( 0, 4)P C-X  .47888E-02
 .11964910D+04  .17715E-04  .23405E-15  6( 0, 4)R C-X  .62461E-02
 .12622120D+04  .27740E-05  .34742E-16  8( 0, 5)P C-X  .83237E-03
 .12429560D+04  .10349E-05  .13161E-16  6( 0, 5)R C-X  .39377E-03
 .13086570D+04  .12404E-06  .14984E-17  8( 0, 6)P C-X  .40010E-04
 .12893520D+04  .50837E-06  .62327E-17  6( 0, 6)R C-X  .20815E-03
 .13542710D+04  .14786E-06  .17259E-17  8( 0, 7)P C-X  .51073E-04
