element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	2	""	"159.1361"	""	"3.78e+06"	B	"148940.17"	"211779.45"	"2s2.2p.3s"	"3P*"	"1"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385n"	""	
N	2	""	"159.2124"	""	"1.49e+07"	B	"148940.17"	"211749.35"	"2s2.2p.3s"	"3P*"	"1"	"2s.2p2.(4P).3s"	"3P"	"0"		"T6385n"	""	
N	2	""	"159.3596"	""	"1.19e+07"	B	"149076.52"	"211827.67"	"2s2.2p.3s"	"3P*"	"2"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385n"	""	
N	2	""	"159.4822"	""	"6.52e+06"	B	"149076.52"	"211779.45"	"2s2.2p.3s"	"3P*"	"2"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385n"	""	
N	2	""	"159.6427"	""	"1.78e+05"	D	"149187.80"	"211827.67"	"2s2.2p.3s"	"1P*"	"1"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385"	""	
N	2	""	"159.7657"	""	"2.25e+05"	D	"149187.80"	"211779.45"	"2s2.2p.3s"	"1P*"	"1"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385"	""	
N	2	""	"159.8426"	""	"1.02e+06"	D	"149187.80"	"211749.35"	"2s2.2p.3s"	"1P*"	"1"	"2s.2p2.(4P).3s"	"3P"	"0"		"T6385"	""	
N	2	""	"160.172"	""	"2.08e-02"	C	"46784.6"	"109217.6"	"2s.2p3"	"5S*"	"2"	"2s.2p3"	"3P*"	"2"	M1	"T7333"	""	
N	2	""	"160.174"	""	"1.15e-02"	C	"46784.6"	"109216.6"	"2s.2p3"	"5S*"	"2"	"2s.2p3"	"3P*"	"1"	M1	"T7333"	""	
N	3	""	"161.2984"	""	"1.01e+06"	C+	"297151.2"	"359148.1"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	"2s2.7s"	"2S"	"1/2"		"T7192LS"	""	
N	3	""	"161.5934"	""	"2.02e+06"	C+	"297264.4"	"359148.1"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s2.7s"	"2S"	"1/2"		"T7192LS"	""	
N	5	"161.633"	""	"200l"	""		""	""	""	""	""	""	""	""		""	"L4829"	
N	5	"161.969"	""	"350l"	""		""	""	""	""	""	""	""	""		""	"L4829"	
N	5	""	"162.1842"	""	"1.52e+06"	B	"618059.3"	"679717.6"	"1s2.4f"	"2F*"	"5/2"	"1s2.5d"	"2D"	"5/2"		"T3127LS"	""	
N	5	""	"162.1968"	""	"3.04e+07"	B	"618064.1"	"679717.6"	"1s2.4f"	"2F*"	"7/2"	"1s2.5d"	"2D"	"5/2"		"T3127LS"	""	
N	5	""	"162.1971"	""	"3.20e+07"	B	"618059.3"	"[679712.7]"	"1s2.4f"	"2F*"	"5/2"	"1s2.5d"	"2D"	"3/2"		"T3127LS"	""	
N	2	""	"162.7349"	""	"7.03e+05"	D	"109216.6"	"170666.23"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"3P"	"2"		"T7333"	""	
N	2	""	"162.7376"	""	"2.39e+06"	D	"109217.6"	"170666.23"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"3P"	"2"		"T7333"	""	
N	2	""	"162.8896"	""	"5.17e+05"	D	"109216.6"	"170607.89"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"3P"	"1"		"T7333"	""	
N	2	""	"162.8922"	""	"1.98e+06"	D	"109217.6"	"170607.89"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"3P"	"1"		"T7333"	""	
N	2	""	"162.9079"	""	"7.93e+05"	D	"109223.5"	"170607.89"	"2s.2p3"	"3P*"	"0"	"2s2.2p.3p"	"3P"	"1"		"T7333"	""	
N	2	""	"162.9832"	""	"3.21e+06"	D	"109216.6"	"170572.61"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"3P"	"0"		"T7333"	""	
N	2	""	"163.4996"	""	"1.57e+07"	B	"144187.94"	"205350.18"	"2s.2p3"	"1D*"	"2"	"2s2.2p.4p"	"1D"	"2"		"T6385"	""	
N	5	""	"165.5624"	""	"1.57e+07"	A	"617916.3"	"678316.5"	"1s2.4d"	"2D"	"3/2"	"1s2.5p"	"2P*"	"3/2"		"T5118LS"	""	
N	5	""	"165.5876"	""	"1.41e+08"	A	"617925.5"	"678316.5"	"1s2.4d"	"2D"	"5/2"	"1s2.5p"	"2P*"	"3/2"		"T5118LS"	""	
N	5	""	"165.6065"	""	"1.57e+08"	A	"617916.3"	"678300.4"	"1s2.4d"	"2D"	"3/2"	"1s2.5p"	"2P*"	"1/2"		"T5118LS"	""	
N	3	""	"166.6275"	""	"5.21e+06"	B	"342691.5"	"402705.6"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"166.8249"	""	"1.04e+06"	C+	"342762.5"	"402705.6"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"166.8527"	""	"2.08e+06"	C+	"342691.5"	"402624.6"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192LS"	""	
N	3	""	"167.0506"	""	"4.14e+06"	B	"342762.5"	"402624.6"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192LS"	""	
N	4	""	"167.3327"	""	"1.50e-01"	C	"175608.1"	"235369.3"	"1s2.2p2"	"3P"	"1"	"1s2.2p2"	"1S"	"0"	M1	"T4492"	""	
N	2	""	"167.5726"	""	"2.70e+07"	B	"109216.6"	"168892.21"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"3S"	"1"		"T7333"	""	
N	2	""	"167.5755"	""	"4.39e+07"	B	"109217.6"	"168892.21"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"3S"	"1"		"T7333"	""	
N	2	""	"167.5920"	""	"9.09e+06"	B	"109223.5"	"168892.21"	"2s.2p3"	"3P*"	"0"	"2s2.2p.3p"	"3S"	"1"		"T7333"	""	
N	4	""	"167.6828"	""	"7.04e-03"	C	"175732.9"	"235369.3"	"1s2.2p2"	"3P"	"2"	"1s2.2p2"	"1S"	"0"	E2	"T4586"	""	
N	2	""	"167.8895"	""	"3.62e+02"	B+	"32688.8"	"92251.8"	"2s2.2p2"	"1S"	"0"	"2s.2p3"	"3D*"	"1"		"T7333"	""	
N	4	""	"168.7570"	""	"1.62e+08"	C+	"516552.6"	"575809.4"	"1s2.2s.4f"	"3F*"	"2"	"1s2.2s.6g"	"3G"	"3"		"T5600c20"	""	
N	4	""	"168.7804"	""	"1.66e+08"	C+	"516560.8"	"575809.4"	"1s2.2s.4f"	"3F*"	"3"	"1s2.2s.6g"	"3G"	"4"		"T5600c20"	""	
